org,repo,activity,comments,prs,commits,issues,authors,project,url
mybb,mybb,343,267,30,24,22,11,mybb,""
datasciencebr,serenata-de-amor,342,194,38,96,14,16,datasciencebr,""
SwiftyJSON,SwiftyJSON,342,280,21,17,24,11,SwiftyJSON,""
python-pillow,Pillow,341,209,55,51,26,11,python-pillow,""
webdriverio,webdriverio,340,240,22,33,45,13,webdriverio,""
LO23TD01,LO23TD01,336,102,59,130,45,28,LO23TD01,""
magefree,mage,336,87,68,145,36,18,magefree,""
artsy,force,335,167,75,72,21,18,artsy,""
Flexget,Flexget,335,143,18,142,32,12,Flexget,""
uclouvain,osis,332,95,57,153,27,13,uclouvain,""
freifunk-gluon,gluon,330,237,25,52,16,11,freifunk-gluon,""
angular,universal-starter,330,163,23,105,39,12,angular,""
intelsdi-x,snap,327,195,51,52,29,18,intelsdi-x,""
clab,dynet,326,207,20,52,47,13,clab,""
gatsbyjs,gatsby,323,204,28,60,31,14,gatsbyjs,""
googleapis,toolkit,319,150,71,71,27,12,Google API,developers.google.com/apis-explorer
pmodels,mpich,319,219,50,37,13,11,pmodels,""
getredash,redash,318,176,40,75,27,12,getredash,""
pantsbuild,pants,317,153,65,71,28,17,pantsbuild,""
dinfcll,sachem,316,33,30,218,35,15,dinfcll,""
contiki-os,contiki,314,255,22,13,24,12,contiki-os,""
google,guava,313,195,18,66,34,18,google,""
OpenMS,OpenMS,313,236,27,31,19,13,OpenMS,""
fpco,stackage,312,129,48,119,16,33,fpco,""
hungernotimpossible,hni,310,103,41,115,51,12,hungernotimpossible,""
HazyResearch,snorkel,309,48,13,232,16,24,HazyResearch,""
