org,repo,activity,comments,prs,commits,issues,authors,project,url
cerebris,jsonapi-resources,255,174,18,38,25,22,cerebris,""
spree,spree,748,475,150,101,22,22,spree,""
hechoendrupal,DrupalConsole,417,203,86,75,53,22,hechoendrupal,""
hpi-swt2,wimi-portal,476,189,39,227,21,21,hpi-swt2,""
salesagility,SuiteCRM,426,194,54,100,78,21,salesagility,""
cockroachdb,cockroach,1687,1048,224,291,124,21,Cockroach DB,cockroachlabs.com
esp8266,Arduino,1252,1024,40,63,125,21,esp8266,""
sympy,sympy,1177,933,131,49,64,21,sympy,""
openhab,openhab,940,696,102,67,75,21,openhab,""
KhronosGroup,Vulkan-LoaderAndValidationLayers,227,120,25,49,33,21,Kronos Vulkan,kronos.org
FreeRDP,FreeRDP,726,592,53,49,32,21,FreeRDP,""
google,closure-compiler,724,503,67,85,69,21,Google Closure Compiler,developers.google.com/closure/compiler
idaholab,moose,722,445,93,97,87,21,idaholab,""
opencontainers,runc,575,434,60,61,20,21,opencontainers,""
pantsbuild,pants,374,147,97,101,29,21,pantsbuild,""
JeffersonLab,sim-recon,398,119,66,201,12,21,JeffersonLab,""
perl6,doc,160,50,17,80,13,20,perl6,""
NativeScript,NativeScript,1104,707,71,187,139,20,NativeScript,nativescript.org
Windows-XAML,Template10,643,440,34,79,90,20,Windows-XAML,""
BVLC,caffe,796,577,56,68,95,20,BVLC,""
serverless,serverless,756,328,75,258,95,20,Serverless Framework,serverless.com
solidusio,solidus,767,468,147,129,23,20,solidusio,""
kamailio,kamailio,300,143,18,122,17,20,kamailio,""
2factorauth,twofactorauth,245,157,33,40,15,20,2factorauth,""
nim-lang,Nim,403,234,38,49,82,20,nim-lang,""
Chantilly612Code,612-2016,551,154,75,275,47,20,Chantilly612Code,""
pfnet,chainer,563,232,75,228,28,20,pfnet,""
cocos2d,cocos2d-x,469,281,76,55,57,20,cocos2d,""
google,protobuf,432,309,43,36,44,20,Google Protocol Buffers,developers.google.com/protocol-buffers
rackerlabs,rackspace-how-to,570,105,155,277,33,20,rackerlabs,""
torchbox,wagtail,609,432,53,59,65,20,torchbox,""
Codeception,Codeception,475,269,49,98,59,19,Codeception,""
Leaflet,Leaflet,537,354,49,70,64,19,Leaflet,""
curl,curl,436,310,22,73,31,19,curl,""
pixelated,pixelated-user-agent,347,188,12,110,37,19,pixelated,""
fish-shell,fish-shell,926,770,28,70,58,19,fish-shell,""
dotnet,orleans,994,740,75,91,88,19,Microsoft Orleans,dotnet.github.io/orleans
Flexget,Flexget,583,283,23,234,43,19,Flexget,""
xitu,gold-miner,622,402,32,146,42,19,xitu,""
OpenRA,OpenRA,1222,945,97,84,96,19,OpenRA,""
saltstack,salt,2748,1978,393,49,328,19,SaltStack,repo.saltstack.com
PowerDNS,pdns,567,254,105,145,63,19,PowerDNS,""
DynamoDS,Dynamo,487,250,103,91,43,19,DynamoDS,""
galaxyproject,galaxy,1108,785,108,122,93,19,galaxyproject,""
TryGhost,Ghost,648,407,91,87,63,19,TryGhost,""
RobotLocomotion,drake,679,524,60,36,59,19,RobotLocomotion,drake.mit.edu
Yoast,wordpress-seo,913,413,68,274,158,19,Yoast SEO,yoast.com/wordpress/seo
opencart,opencart,377,157,66,92,62,19,opencart,""
ZoneMinder,ZoneMinder,450,308,34,82,26,19,ZoneMinder,""
stxnext-csr,volontulo,481,293,57,43,88,19,stxnext-csr,""
OpenTSDB,tcollector,287,127,50,97,13,19,OpenTSDB,""
diydrones,ardupilot,916,692,84,102,38,19,diydrones,""
raspberrypi,linux,453,327,14,85,27,18,raspberrypi,""
wallabag,wallabag,758,453,73,192,40,18,wallabag,""
puma,puma,214,133,20,38,23,18,puma,""
fastlane,fastlane,736,498,73,49,116,18,fastlane,fastlane.tools
HubTurbo,HubTurbo,730,372,46,285,27,18,HubTurbo,""
ContributorCovenant,contributor_covenant,211,97,23,80,11,18,ContributorCovenant,""
oVirt,ovirt-site,187,72,54,50,11,18,oVirt,""
NREL,EnergyPlus,696,427,42,204,23,18,NREL,""
grafana,grafana,1216,772,75,128,241,18,grafana,""
terasolunaorg,guideline,621,313,66,190,52,18,terasolunaorg,""
mattermost,platform,1430,875,192,281,82,18,Mattermost,mattermost.org
HazyResearch,deepdive,404,103,17,268,16,18,HazyResearch,""
