org,repo,activity,comments,prs,commits,issues,authors
koreader,koreader/koreader,1414,1064,81,160,109,18
GMOD,GMOD/Apollo,1412,1008,87,189,128,15
statsmodels,statsmodels/statsmodels,1406,1093,121,94,98,31
piwik,piwik/piwik,1400,732,79,423,166,24
d-ronin,d-ronin/dRonin,1398,1059,129,118,92,23
VOREStation,VOREStation/VOREStation,1396,611,227,364,194,26
HubTurbo,HubTurbo/addressbook,1396,301,150,785,160,16
librenms,librenms/librenms,1393,929,178,79,207,26
dailymotion,dailymotion/hls.js,1393,925,54,264,150,28
RoboJackets,RoboJackets/robocup-software,1391,397,92,815,87,25
Azure,Azure/azure-xplat-cli,1389,944,151,148,146,48
conda,conda/conda-build,1389,1022,125,137,105,29
schemaorg,schemaorg/schemaorg,1389,963,55,256,115,19
DarkstarProject,DarkstarProject/darkstar,1388,831,217,255,85,39
PowerDNS,PowerDNS/pdns,1386,633,280,288,185,36
tmc-cli,tmc-cli/tmc-cli,1384,292,249,704,139,20
Yoast,Yoast/YoastSEO.js,1384,459,173,576,176,27
kivy,kivy/kivy,1383,902,118,153,210,48
cockpit-project,cockpit-project/cockpit,1381,867,205,214,95,22
auth0,auth0/docs,1377,230,509,557,81,87
curl,curl/curl,1376,946,69,263,98,47
fpco,fpco/stackage,1376,608,248,425,95,118
UM-USElab,UM-USElab/gradecraft-development,1376,162,148,909,157,15
CGAL,CGAL/cgal,1374,902,178,204,90,22
docker,docker/distribution,1373,1054,103,92,124,41
att,att/rcloud,1369,875,100,197,197,16
duckduckgo,duckduckgo/zeroclickinfo-spice,1365,1107,111,61,86,32
thelounge,thelounge/lounge,1365,891,120,257,97,18
MISP,MISP/MISP,1361,747,121,336,157,30
EngoEngine,EngoEngine/engo,1361,712,107,437,105,18
cgeo,cgeo/cgeo,1356,874,67,269,146,17
xonsh,xonsh/xonsh,1354,1041,97,126,90,19
pi-hole,pi-hole/pi-hole,1351,1060,57,145,89,24
hyperspy,hyperspy/hyperspy,1350,1069,113,87,81,20
sonata-project,sonata-project/SonataAdminBundle,1349,1052,141,80,76,26
MN-Script-Team,MN-Script-Team/DHS-MAXIS-Scripts,1349,780,176,238,155,34
scala-js,scala-js/scala-js,1346,1072,92,78,104,13
opencontainers,opencontainers/runc,1345,1007,159,122,57,40
